id,device,timestamp,mAccuracy,mAltitude,mBearing,mElapsedRealtimeNanos,mExtras_networkLocationSource,mExtras_networkLocationType,mExtras_noGPSLocation_mAccuracy,mExtras_noGPSLocation_mAltitude,mExtras_noGPSLocation_mBearing,mExtras_noGPSLocation_mElapsedRealtimeNanos,mExtras_noGPSLocation_mExtras_coarseLocation_mAccuracy,mExtras_noGPSLocation_mExtras_coarseLocation_mAltitude,mExtras_noGPSLocation_mExtras_coarseLocation_mBearing,mExtras_noGPSLocation_mExtras_coarseLocation_mElapsedRealtimeNanos,mExtras_noGPSLocation_mExtras_coarseLocation_mHasAccuracy,mExtras_noGPSLocation_mExtras_coarseLocation_mHasAltitude,mExtras_noGPSLocation_mExtras_coarseLocation_mHasBearing,mExtras_noGPSLocation_mExtras_coarseLocation_mHasSpeed,mExtras_noGPSLocation_mExtras_coarseLocation_mLatitude,mExtras_noGPSLocation_mExtras_coarseLocation_mLongitude,mExtras_noGPSLocation_mExtras_coarseLocation_mProvider,mExtras_noGPSLocation_mExtras_coarseLocation_mSpeed,mExtras_noGPSLocation_mExtras_coarseLocation_mTime,mExtras_noGPSLocation_mHasAccuracy,mExtras_noGPSLocation_mHasAltitude,mExtras_noGPSLocation_mHasBearing,mExtras_noGPSLocation_mHasSpeed,mExtras_noGPSLocation_mLatitude,mExtras_noGPSLocation_mLongitude,mExtras_noGPSLocation_mProvider,mExtras_noGPSLocation_mSpeed,mExtras_noGPSLocation_mTime,mExtras_satellites,mExtras_travelState,mHasAccuracy,mHasAltitude,mHasBearing,mHasSpeed,mLatitude,mLongitude,mProvider,mSpeed,mTime,timestamp
2f07f313-313e-40e8-af22-98a8cb0f0c54-1,32c6eef1-f955-4439-a76f-33fcfe4d7679,1387869466.035,6.0,-49.498173878433796,0.0,176477217023039,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,True,True,False,True,22.58609522755728,88.37993967556531,gps,0.0,1387869447000,1387869466.035
2ec2920f-4328-4842-a656-cbd279f69ab8-1,32c6eef1-f955-4439-a76f-33fcfe4d7679,1387869468.87,16.0,-49.977493778468855,0.0,176498212811613,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,True,True,False,True,22.585921969553834,88.37994041076313,gps,0.0,1387869468000,1387869468.87
2ec2920f-4328-4842-a656-cbd279f69ab8-3,32c6eef1-f955-4439-a76f-33fcfe4d7679,1387869468.885,905.0,0.0,0.0,176498620000000,cached,cell,905.0,0.0,0.0,176498620000000,2000.0,0.0,0.0,176498620000000,True,False,False,False,22.594594594594593,88.38766939354473,network,0.0,1387869468195,True,False,False,False,22.5859442,88.3805967,network,0.0,1387869468195,,stationary,True,False,False,False,22.5859442,88.3805967,network,0.0,1387869468195,1387869468.885
2ec2920f-4328-4842-a656-cbd279f69ab8-7,32c6eef1-f955-4439-a76f-33fcfe4d7679,1387869468.944,905.0,0.0,0.0,176499319000000,cached,cell,905.0,0.0,0.0,176499319000000,2000.0,0.0,0.0,176499319000000,True,False,False,False,22.594594594594593,88.38766939354473,network,0.0,1387869468894,True,False,False,False,22.5859442,88.3805967,network,0.0,1387869468894,,stationary,True,False,False,False,22.5859442,88.3805967,network,0.0,1387869468894,1387869468.944
2ec2920f-4328-4842-a656-cbd279f69ab8-11,32c6eef1-f955-4439-a76f-33fcfe4d7679,1387869468.974,905.0,0.0,0.0,176499319000000,cached,cell,905.0,0.0,0.0,176499319000000,2000.0,0.0,0.0,176499319000000,True,False,False,False,22.594594594594593,88.38766939354473,network,0.0,1387869468894,True,False,False,False,22.5859442,88.3805967,network,0.0,1387869468894,,stationary,True,False,False,False,22.5859442,88.3805967,network,0.0,1387869468894,1387869468.974
2ec2920f-4328-4842-a656-cbd279f69ab8-27,32c6eef1-f955-4439-a76f-33fcfe4d7679,1387869469.817,16.0,-49.977493778468855,0.0,176498212811613,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,True,True,False,True,22.585921969553834,88.37994041076313,gps,0.0,1387869468000,1387869469.817
2ec2920f-4328-4842-a656-cbd279f69ab8-28,32c6eef1-f955-4439-a76f-33fcfe4d7679,1387869469.822,905.0,0.0,0.0,176499603000000,cached,cell,905.0,0.0,0.0,176499603000000,2000.0,0.0,0.0,176499603000000,True,False,False,False,22.594594594594593,88.38766939354473,network,0.0,1387869469178,True,False,False,False,22.5859442,88.3805967,network,0.0,1387869469178,,stationary,True,False,False,False,22.5859442,88.3805967,network,0.0,1387869469178,1387869469.822
2ec2920f-4328-4842-a656-cbd279f69ab8-30,32c6eef1-f955-4439-a76f-33fcfe4d7679,1387869470.806,16.0,-49.977493778468855,0.0,176498212811613,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,True,True,False,True,22.585921969553834,88.37994041076313,gps,0.0,1387869468000,1387869470.806
2ec2920f-4328-4842-a656-cbd279f69ab8-32,32c6eef1-f955-4439-a76f-33fcfe4d7679,1387869473.799,16.0,-49.977493778468855,0.0,176498212811613,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,True,True,False,True,22.585921969553834,88.37994041076313,gps,0.0,1387869468000,1387869473.799
2ec2920f-4328-4842-a656-cbd279f69ab8-33,32c6eef1-f955-4439-a76f-33fcfe4d7679,1387869477.816,16.0,-49.977493778468855,0.0,176498212811613,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,True,True,False,True,22.585921969553834,88.37994041076313,gps,0.0,1387869468000,1387869477.816
