id,device,timestamp,mAccuracy,mAltitude,mBearing,mElapsedRealtimeNanos,mExtras_networkLocationSource,mExtras_networkLocationType,mExtras_noGPSLocation_mAccuracy,mExtras_noGPSLocation_mAltitude,mExtras_noGPSLocation_mBearing,mExtras_noGPSLocation_mElapsedRealtimeNanos,mExtras_noGPSLocation_mExtras_coarseLocation_mAccuracy,mExtras_noGPSLocation_mExtras_coarseLocation_mAltitude,mExtras_noGPSLocation_mExtras_coarseLocation_mBearing,mExtras_noGPSLocation_mExtras_coarseLocation_mElapsedRealtimeNanos,mExtras_noGPSLocation_mExtras_coarseLocation_mHasAccuracy,mExtras_noGPSLocation_mExtras_coarseLocation_mHasAltitude,mExtras_noGPSLocation_mExtras_coarseLocation_mHasBearing,mExtras_noGPSLocation_mExtras_coarseLocation_mHasSpeed,mExtras_noGPSLocation_mExtras_coarseLocation_mLatitude,mExtras_noGPSLocation_mExtras_coarseLocation_mLongitude,mExtras_noGPSLocation_mExtras_coarseLocation_mProvider,mExtras_noGPSLocation_mExtras_coarseLocation_mSpeed,mExtras_noGPSLocation_mExtras_coarseLocation_mTime,mExtras_noGPSLocation_mHasAccuracy,mExtras_noGPSLocation_mHasAltitude,mExtras_noGPSLocation_mHasBearing,mExtras_noGPSLocation_mHasSpeed,mExtras_noGPSLocation_mLatitude,mExtras_noGPSLocation_mLongitude,mExtras_noGPSLocation_mProvider,mExtras_noGPSLocation_mSpeed,mExtras_noGPSLocation_mTime,mExtras_satellites,mExtras_travelState,mHasAccuracy,mHasAltitude,mHasBearing,mHasSpeed,mLatitude,mLongitude,mProvider,mSpeed,mTime,timestamp
56b9fa22-07ce-472e-883e-4d54363da37e-1,8b49b77b-3813-4bd9-9fda-29ea56673c1e,1387969150.564,32.0,-49.10000882917197,70.87242,182584108977722,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,True,True,True,True,22.585863716234705,88.38064908557088,gps,0.0,1387875554000,1387969150.564
56b9fa22-07ce-472e-883e-4d54363da37e-2,8b49b77b-3813-4bd9-9fda-29ea56673c1e,1387969156.53,12.0,-42.577720972432246,0.0,276184479843688,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,True,True,False,True,22.58612257113764,88.37998646321378,gps,0.0,1387969153000,1387969156.53
56b9fa22-07ce-472e-883e-4d54363da37e-3,8b49b77b-3813-4bd9-9fda-29ea56673c1e,1387969156.544,905.0,0.0,0.0,276187728000000,cached,cell,905.0,0.0,0.0,276187728000000,2000.0,0.0,0.0,276187728000000,True,False,False,False,22.594594594594593,88.38766939354473,network,0.0,1387969155965,True,False,False,False,22.5859442,88.3805967,network,0.0,1387969155965,,stationary,True,False,False,False,22.5859442,88.3805967,network,0.0,1387969155965,1387969156.544
56b9fa22-07ce-472e-883e-4d54363da37e-4,8b49b77b-3813-4bd9-9fda-29ea56673c1e,1387969173.568,12.0,-45.88101828380063,0.0,276201447586609,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,True,True,False,True,22.585980071793376,88.37986698261041,gps,1.3263288,1387969170000,1387969173.568
56b9fa22-07ce-472e-883e-4d54363da37e-42,8b49b77b-3813-4bd9-9fda-29ea56673c1e,1387969184.764,12.0,-46.4071779427909,0.0,276213422836855,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,True,True,False,True,22.58585980254562,88.37985343730197,gps,0.0,1387969182000,1387969184.764
56b9fa22-07ce-472e-883e-4d54363da37e-43,8b49b77b-3813-4bd9-9fda-29ea56673c1e,1387969184.802,905.0,0.0,0.0,276215345000000,cached,cell,905.0,0.0,0.0,276215345000000,2000.0,0.0,0.0,276215345000000,True,False,False,False,22.594594594594593,88.38766939354473,network,0.0,1387969183582,True,False,False,False,22.5859442,88.3805967,network,0.0,1387969183582,,stationary,True,False,False,False,22.5859442,88.3805967,network,0.0,1387969183582,1387969184.802
56b9fa22-07ce-472e-883e-4d54363da37e-53,8b49b77b-3813-4bd9-9fda-29ea56673c1e,1387969184.948,905.0,0.0,0.0,276216580000000,cached,cell,905.0,0.0,0.0,276216580000000,2000.0,0.0,0.0,276216580000000,True,False,False,False,22.594594594594593,88.38766939354473,network,0.0,1387969184817,True,False,False,False,22.5859442,88.3805967,network,0.0,1387969184817,,stationary,True,False,False,False,22.5859442,88.3805967,network,0.0,1387969184817,1387969184.948
56b9fa22-07ce-472e-883e-4d54363da37e-58,8b49b77b-3813-4bd9-9fda-29ea56673c1e,1387969184.982,905.0,0.0,0.0,276216580000000,cached,cell,905.0,0.0,0.0,276216580000000,2000.0,0.0,0.0,276216580000000,True,False,False,False,22.594594594594593,88.38766939354473,network,0.0,1387969184817,True,False,False,False,22.5859442,88.3805967,network,0.0,1387969184817,,stationary,True,False,False,False,22.5859442,88.3805967,network,0.0,1387969184817,1387969184.982
56b9fa22-07ce-472e-883e-4d54363da37e-60,8b49b77b-3813-4bd9-9fda-29ea56673c1e,1387969185.716,12.0,-46.78576202770512,0.0,276217468460633,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,True,True,False,True,22.58581107732965,88.37984353706464,gps,0.80203056,1387969186000,1387969185.716
56b9fa22-07ce-472e-883e-4d54363da37e-61,8b49b77b-3813-4bd9-9fda-29ea56673c1e,1387969187.234,16.0,-46.87822035267498,0.0,276218424027040,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,True,True,False,True,22.58581102166046,88.37984349066159,gps,0.0,1387969187000,1387969187.234
56b9fa22-07ce-472e-883e-4d54363da37e-62,8b49b77b-3813-4bd9-9fda-29ea56673c1e,1387969187.245,905.0,0.0,0.0,276218456000000,cached,cell,905.0,0.0,0.0,276218456000000,2000.0,0.0,0.0,276218456000000,True,False,False,False,22.594594594594593,88.38766939354473,network,0.0,1387969186693,True,False,False,False,22.5859442,88.3805967,network,0.0,1387969186693,,stationary,True,False,False,False,22.5859442,88.3805967,network,0.0,1387969186693,1387969187.245
56b9fa22-07ce-472e-883e-4d54363da37e-63,8b49b77b-3813-4bd9-9fda-29ea56673c1e,1387969187.41,905.0,0.0,0.0,276219001000000,cached,cell,905.0,0.0,0.0,276219001000000,2000.0,0.0,0.0,276219001000000,True,False,False,False,22.594594594594593,88.38766939354473,network,0.0,1387969187238,True,False,False,False,22.5859442,88.3805967,network,0.0,1387969187238,,stationary,True,False,False,False,22.5859442,88.3805967,network,0.0,1387969187238,1387969187.41
56b9fa22-07ce-472e-883e-4d54363da37e-64,8b49b77b-3813-4bd9-9fda-29ea56673c1e,1387969187.431,905.0,0.0,0.0,276219001000000,cached,cell,905.0,0.0,0.0,276219001000000,2000.0,0.0,0.0,276219001000000,True,False,False,False,22.594594594594593,88.38766939354473,network,0.0,1387969187238,True,False,False,False,22.5859442,88.3805967,network,0.0,1387969187238,,stationary,True,False,False,False,22.5859442,88.3805967,network,0.0,1387969187238,1387969187.431
56b9fa22-07ce-472e-883e-4d54363da37e-65,8b49b77b-3813-4bd9-9fda-29ea56673c1e,1387969188.151,16.0,-46.87822035267498,0.0,276218424027040,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,True,True,False,True,22.58581102166046,88.37984349066159,gps,0.0,1387969187000,1387969188.151
56b9fa22-07ce-472e-883e-4d54363da37e-66,8b49b77b-3813-4bd9-9fda-29ea56673c1e,1387969188.156,905.0,0.0,0.0,276219317000000,cached,cell,905.0,0.0,0.0,276219317000000,2000.0,0.0,0.0,276219317000000,True,False,False,False,22.594594594594593,88.38766939354473,network,0.0,1387969187554,True,False,False,False,22.5859442,88.3805967,network,0.0,1387969187554,,stationary,True,False,False,False,22.5859442,88.3805967,network,0.0,1387969187554,1387969188.156
56b9fa22-07ce-472e-883e-4d54363da37e-67,8b49b77b-3813-4bd9-9fda-29ea56673c1e,1387969188.225,905.0,0.0,0.0,276219970000000,cached,cell,905.0,0.0,0.0,276219970000000,2000.0,0.0,0.0,276219970000000,True,False,False,False,22.594594594594593,88.38766939354473,network,0.0,1387969188207,True,False,False,False,22.5859442,88.3805967,network,0.0,1387969188207,,stationary,True,False,False,False,22.5859442,88.3805967,network,0.0,1387969188207,1387969188.225
56b9fa22-07ce-472e-883e-4d54363da37e-68,8b49b77b-3813-4bd9-9fda-29ea56673c1e,1387969188.269,905.0,0.0,0.0,276219970000000,cached,cell,905.0,0.0,0.0,276219970000000,2000.0,0.0,0.0,276219970000000,True,False,False,False,22.594594594594593,88.38766939354473,network,0.0,1387969188207,True,False,False,False,22.5859442,88.3805967,network,0.0,1387969188207,,stationary,True,False,False,False,22.5859442,88.3805967,network,0.0,1387969188207,1387969188.269
56b9fa22-07ce-472e-883e-4d54363da37e-70,8b49b77b-3813-4bd9-9fda-29ea56673c1e,1387969204.162,16.0,-46.87822035267498,0.0,276218424027040,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,True,True,False,True,22.58581102166046,88.37984349066159,gps,0.0,1387969187000,1387969204.162
56b9fa22-07ce-472e-883e-4d54363da37e-71,8b49b77b-3813-4bd9-9fda-29ea56673c1e,1387969204.203,905.0,0.0,0.0,276235477000000,cached,cell,905.0,0.0,0.0,276235477000000,2000.0,0.0,0.0,276235477000000,True,False,False,False,22.594594594594593,88.38766939354473,network,0.0,1387969203714,True,False,False,False,22.5859442,88.3805967,network,0.0,1387969203714,,stationary,True,False,False,False,22.5859442,88.3805967,network,0.0,1387969203714,1387969204.203
56b9fa22-07ce-472e-883e-4d54363da37e-73,8b49b77b-3813-4bd9-9fda-29ea56673c1e,1387969210.146,16.0,-46.87822035267498,0.0,276218424027040,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,True,True,False,True,22.58581102166046,88.37984349066159,gps,0.0,1387969187000,1387969210.146
56b9fa22-07ce-472e-883e-4d54363da37e-74,8b49b77b-3813-4bd9-9fda-29ea56673c1e,1387969214.003,16.0,-46.87822035267498,0.0,276218424027040,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,True,True,False,True,22.58581102166046,88.37984349066159,gps,0.0,1387969187000,1387969214.003
56b9fa22-07ce-472e-883e-4d54363da37e-79,8b49b77b-3813-4bd9-9fda-29ea56673c1e,1387969214.223,905.0,0.0,0.0,276245069000000,cached,cell,905.0,0.0,0.0,276245069000000,2000.0,0.0,0.0,276245069000000,True,False,False,False,22.594594594594593,88.38766939354473,network,0.0,1387969213306,True,False,False,False,22.5859442,88.3805967,network,0.0,1387969213306,,stationary,True,False,False,False,22.5859442,88.3805967,network,0.0,1387969213306,1387969214.223
56b9fa22-07ce-472e-883e-4d54363da37e-113,8b49b77b-3813-4bd9-9fda-29ea56673c1e,1387969214.42,905.0,0.0,0.0,276245800000000,cached,cell,905.0,0.0,0.0,276245800000000,2000.0,0.0,0.0,276245800000000,True,False,False,False,22.594594594594593,88.38766939354473,network,0.0,1387969214037,True,False,False,False,22.5859442,88.3805967,network,0.0,1387969214037,,stationary,True,False,False,False,22.5859442,88.3805967,network,0.0,1387969214037,1387969214.42
56b9fa22-07ce-472e-883e-4d54363da37e-117,8b49b77b-3813-4bd9-9fda-29ea56673c1e,1387969214.438,905.0,0.0,0.0,276245800000000,cached,cell,905.0,0.0,0.0,276245800000000,2000.0,0.0,0.0,276245800000000,True,False,False,False,22.594594594594593,88.38766939354473,network,0.0,1387969214037,True,False,False,False,22.5859442,88.3805967,network,0.0,1387969214037,,stationary,True,False,False,False,22.5859442,88.3805967,network,0.0,1387969214037,1387969214.438
56b9fa22-07ce-472e-883e-4d54363da37e-135,8b49b77b-3813-4bd9-9fda-29ea56673c1e,1387969214.681,12.0,-49.26096347409037,185.54877,276246423904970,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,True,True,True,True,22.58551791336479,88.3798136091693,gps,0.99565524,1387969215000,1387969214.681
56b9fa22-07ce-472e-883e-4d54363da37e-140,8b49b77b-3813-4bd9-9fda-29ea56673c1e,1387969214.705,12.0,-49.26096347409037,185.54877,276246423904970,,,905.0,0.0,0.0,276245800000000,2000.0,0.0,0.0,276245800000000,True,False,False,False,22.594594594594593,88.38766939354473,network,0.0,1387969214037,True,False,False,False,22.5859442,88.3805967,network,0.0,1387969214037,0,,True,True,True,True,22.58551791336479,88.3798136091693,gps,0.99565524,1387969215000,1387969214.705
56b9fa22-07ce-472e-883e-4d54363da37e-246,8b49b77b-3813-4bd9-9fda-29ea56673c1e,1387969230.897,16.0,-49.31618159479937,188.04536,276249434280947,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,True,True,True,True,22.585491757071352,88.37980950454863,gps,0.0,1387969218000,1387969230.897
56b9fa22-07ce-472e-883e-4d54363da37e-247,8b49b77b-3813-4bd9-9fda-29ea56673c1e,1387969232.943,16.0,-49.31618159479937,188.04536,276249434280947,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,True,True,True,True,22.585491757071352,88.37980950454863,gps,0.0,1387969218000,1387969232.943
56b9fa22-07ce-472e-883e-4d54363da37e-248,8b49b77b-3813-4bd9-9fda-29ea56673c1e,1387969232.963,905.0,0.0,0.0,276264693000000,cached,cell,905.0,0.0,0.0,276264693000000,2000.0,0.0,0.0,276264693000000,True,False,False,False,22.594594594594593,88.38766939354473,network,0.0,1387969232930,True,False,False,False,22.5859442,88.3805967,network,0.0,1387969232930,,stationary,True,False,False,False,22.5859442,88.3805967,network,0.0,1387969232930,1387969232.963
56b9fa22-07ce-472e-883e-4d54363da37e-249,8b49b77b-3813-4bd9-9fda-29ea56673c1e,1387969232.973,905.0,0.0,0.0,276264693000000,cached,cell,905.0,0.0,0.0,276264693000000,2000.0,0.0,0.0,276264693000000,True,False,False,False,22.594594594594593,88.38766939354473,network,0.0,1387969232930,True,False,False,False,22.5859442,88.3805967,network,0.0,1387969232930,,stationary,True,False,False,False,22.5859442,88.3805967,network,0.0,1387969232930,1387969232.973
56b9fa22-07ce-472e-883e-4d54363da37e-250,8b49b77b-3813-4bd9-9fda-29ea56673c1e,1387969232.979,905.0,0.0,0.0,276264693000000,cached,cell,905.0,0.0,0.0,276264693000000,2000.0,0.0,0.0,276264693000000,True,False,False,False,22.594594594594593,88.38766939354473,network,0.0,1387969232930,True,False,False,False,22.5859442,88.3805967,network,0.0,1387969232930,,stationary,True,False,False,False,22.5859442,88.3805967,network,0.0,1387969232930,1387969232.979
56b9fa22-07ce-472e-883e-4d54363da37e-251,8b49b77b-3813-4bd9-9fda-29ea56673c1e,1387969233.7,24.0,-49.55614910693676,206.62737,276265450974062,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,True,True,True,True,22.58540387076419,88.3797749160613,gps,0.0,1387969234000,1387969233.7
56b9fa22-07ce-472e-883e-4d54363da37e-252,8b49b77b-3813-4bd9-9fda-29ea56673c1e,1387969233.711,24.0,-49.55614910693676,206.62737,276265450974062,,,905.0,0.0,0.0,276264693000000,2000.0,0.0,0.0,276264693000000,True,False,False,False,22.594594594594593,88.38766939354473,network,0.0,1387969232930,True,False,False,False,22.5859442,88.3805967,network,0.0,1387969232930,0,,True,True,True,True,22.58540387076419,88.3797749160613,gps,0.0,1387969234000,1387969233.711
56b9fa22-07ce-472e-883e-4d54363da37e-254,8b49b77b-3813-4bd9-9fda-29ea56673c1e,1387969234.946,24.0,-49.55614910693676,206.62737,276265450974062,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,True,True,True,True,22.58540387076419,88.3797749160613,gps,0.0,1387969234000,1387969234.946
56b9fa22-07ce-472e-883e-4d54363da37e-255,8b49b77b-3813-4bd9-9fda-29ea56673c1e,1387969234.951,905.0,0.0,0.0,276266680000000,cached,cell,905.0,0.0,0.0,276266680000000,2000.0,0.0,0.0,276266680000000,True,False,False,False,22.594594594594593,88.38766939354473,network,0.0,1387969234917,True,False,False,False,22.5859442,88.3805967,network,0.0,1387969234917,,stationary,True,False,False,False,22.5859442,88.3805967,network,0.0,1387969234917,1387969234.951
56b9fa22-07ce-472e-883e-4d54363da37e-256,8b49b77b-3813-4bd9-9fda-29ea56673c1e,1387969234.956,905.0,0.0,0.0,276266680000000,cached,cell,905.0,0.0,0.0,276266680000000,2000.0,0.0,0.0,276266680000000,True,False,False,False,22.594594594594593,88.38766939354473,network,0.0,1387969234917,True,False,False,False,22.5859442,88.3805967,network,0.0,1387969234917,,stationary,True,False,False,False,22.5859442,88.3805967,network,0.0,1387969234917,1387969234.956
56b9fa22-07ce-472e-883e-4d54363da37e-257,8b49b77b-3813-4bd9-9fda-29ea56673c1e,1387969234.967,905.0,0.0,0.0,276266680000000,cached,cell,905.0,0.0,0.0,276266680000000,2000.0,0.0,0.0,276266680000000,True,False,False,False,22.594594594594593,88.38766939354473,network,0.0,1387969234917,True,False,False,False,22.5859442,88.3805967,network,0.0,1387969234917,,stationary,True,False,False,False,22.5859442,88.3805967,network,0.0,1387969234917,1387969234.967
56b9fa22-07ce-472e-883e-4d54363da37e-301,8b49b77b-3813-4bd9-9fda-29ea56673c1e,1387969235.696,12.0,-49.930907258982415,206.62737,276267443985536,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,True,True,True,True,22.585380926026495,88.37977302120194,gps,0.0,1387969236000,1387969235.696
56b9fa22-07ce-472e-883e-4d54363da37e-308,8b49b77b-3813-4bd9-9fda-29ea56673c1e,1387969235.737,12.0,-49.930907258982415,206.62737,276267443985536,,,905.0,0.0,0.0,276266680000000,2000.0,0.0,0.0,276266680000000,True,False,False,False,22.594594594594593,88.38766939354473,network,0.0,1387969234917,True,False,False,False,22.5859442,88.3805967,network,0.0,1387969234917,0,,True,True,True,True,22.585380926026495,88.37977302120194,gps,0.0,1387969236000,1387969235.737
56b9fa22-07ce-472e-883e-4d54363da37e-318,8b49b77b-3813-4bd9-9fda-29ea56673c1e,1387969236.971,12.0,-49.930907258982415,206.62737,276267443985536,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,True,True,True,True,22.585380926026495,88.37977302120194,gps,0.0,1387969236000,1387969236.971
56b9fa22-07ce-472e-883e-4d54363da37e-319,8b49b77b-3813-4bd9-9fda-29ea56673c1e,1387969236.981,905.0,0.0,0.0,276268707000000,cached,cell,905.0,0.0,0.0,276268707000000,2000.0,0.0,0.0,276268707000000,True,False,False,False,22.594594594594593,88.38766939354473,network,0.0,1387969236944,True,False,False,False,22.5859442,88.3805967,network,0.0,1387969236944,,stationary,True,False,False,False,22.5859442,88.3805967,network,0.0,1387969236944,1387969236.981
56b9fa22-07ce-472e-883e-4d54363da37e-320,8b49b77b-3813-4bd9-9fda-29ea56673c1e,1387969237.002,905.0,0.0,0.0,276268707000000,cached,cell,905.0,0.0,0.0,276268707000000,2000.0,0.0,0.0,276268707000000,True,False,False,False,22.594594594594593,88.38766939354473,network,0.0,1387969236944,True,False,False,False,22.5859442,88.3805967,network,0.0,1387969236944,,stationary,True,False,False,False,22.5859442,88.3805967,network,0.0,1387969236944,1387969237.002
56b9fa22-07ce-472e-883e-4d54363da37e-321,8b49b77b-3813-4bd9-9fda-29ea56673c1e,1387969237.006,905.0,0.0,0.0,276268707000000,cached,cell,905.0,0.0,0.0,276268707000000,2000.0,0.0,0.0,276268707000000,True,False,False,False,22.594594594594593,88.38766939354473,network,0.0,1387969236944,True,False,False,False,22.5859442,88.3805967,network,0.0,1387969236944,,stationary,True,False,False,False,22.5859442,88.3805967,network,0.0,1387969236944,1387969237.006
56b9fa22-07ce-472e-883e-4d54363da37e-322,8b49b77b-3813-4bd9-9fda-29ea56673c1e,1387969237.712,24.0,-50.220012570461584,176.59653,276269453537538,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,True,True,True,True,22.585345474398004,88.37977454811994,gps,1.0898862,1387969238000,1387969237.712
56b9fa22-07ce-472e-883e-4d54363da37e-323,8b49b77b-3813-4bd9-9fda-29ea56673c1e,1387969237.719,24.0,-50.220012570461584,176.59653,276269453537538,,,905.0,0.0,0.0,276268707000000,2000.0,0.0,0.0,276268707000000,True,False,False,False,22.594594594594593,88.38766939354473,network,0.0,1387969236944,True,False,False,False,22.5859442,88.3805967,network,0.0,1387969236944,0,,True,True,True,True,22.585345474398004,88.37977454811994,gps,1.0898862,1387969238000,1387969237.719
a30ec457-e6c5-451f-a718-2dcdc3a8cf71-167,8b49b77b-3813-4bd9-9fda-29ea56673c1e,1387969282.093,24.0,-50.220012570461584,176.59653,276269453537538,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,True,True,True,True,22.585345474398004,88.37977454811994,gps,1.0898862,1387969238000,1387969282.093
a30ec457-e6c5-451f-a718-2dcdc3a8cf71-173,8b49b77b-3813-4bd9-9fda-29ea56673c1e,1387969282.126,905.0,0.0,0.0,276312990000000,cached,cell,905.0,0.0,0.0,276312990000000,2000.0,0.0,0.0,276312990000000,True,False,False,False,22.594594594594593,88.38766939354473,network,0.0,1387969281227,True,False,False,False,22.5859442,88.3805967,network,0.0,1387969281227,,stationary,True,False,False,False,22.5859442,88.3805967,network,0.0,1387969281227,1387969282.126
a30ec457-e6c5-451f-a718-2dcdc3a8cf71-179,8b49b77b-3813-4bd9-9fda-29ea56673c1e,1387969282.192,905.0,0.0,0.0,276313878000000,cached,cell,905.0,0.0,0.0,276313878000000,2000.0,0.0,0.0,276313878000000,True,False,False,False,22.594594594594593,88.38766939354473,network,0.0,1387969282115,True,False,False,False,22.5859442,88.3805967,network,0.0,1387969282115,,stationary,True,False,False,False,22.5859442,88.3805967,network,0.0,1387969282115,1387969282.192
a30ec457-e6c5-451f-a718-2dcdc3a8cf71-181,8b49b77b-3813-4bd9-9fda-29ea56673c1e,1387969282.203,905.0,0.0,0.0,276313878000000,cached,cell,905.0,0.0,0.0,276313878000000,2000.0,0.0,0.0,276313878000000,True,False,False,False,22.594594594594593,88.38766939354473,network,0.0,1387969282115,True,False,False,False,22.5859442,88.3805967,network,0.0,1387969282115,,stationary,True,False,False,False,22.5859442,88.3805967,network,0.0,1387969282115,1387969282.203
a30ec457-e6c5-451f-a718-2dcdc3a8cf71-219,8b49b77b-3813-4bd9-9fda-29ea56673c1e,1387969282.685,16.0,-52.927474269353965,203.73912,276314435440613,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,True,True,True,True,22.584721013957207,88.37964887400258,gps,1.4711752,1387969283000,1387969282.685
a30ec457-e6c5-451f-a718-2dcdc3a8cf71-223,8b49b77b-3813-4bd9-9fda-29ea56673c1e,1387969282.699,16.0,-52.927474269353965,203.73912,276314435440613,,,905.0,0.0,0.0,276313878000000,2000.0,0.0,0.0,276313878000000,True,False,False,False,22.594594594594593,88.38766939354473,network,0.0,1387969282115,True,False,False,False,22.5859442,88.3805967,network,0.0,1387969282115,0,,True,True,True,True,22.584721013957207,88.37964887400258,gps,1.4711752,1387969283000,1387969282.699
a30ec457-e6c5-451f-a718-2dcdc3a8cf71-315,8b49b77b-3813-4bd9-9fda-29ea56673c1e,1387969287.923,16.0,-52.927474269353965,203.73912,276314435440613,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,True,True,True,True,22.584721013957207,88.37964887400258,gps,1.4711752,1387969283000,1387969287.923
a30ec457-e6c5-451f-a718-2dcdc3a8cf71-316,8b49b77b-3813-4bd9-9fda-29ea56673c1e,1387969287.932,905.0,0.0,0.0,276318723000000,cached,cell,905.0,0.0,0.0,276318723000000,2000.0,0.0,0.0,276318723000000,True,False,False,False,22.594594594594593,88.38766939354473,network,0.0,1387969286960,True,False,False,False,22.5859442,88.3805967,network,0.0,1387969286960,,stationary,True,False,False,False,22.5859442,88.3805967,network,0.0,1387969286960,1387969287.932
a30ec457-e6c5-451f-a718-2dcdc3a8cf71-317,8b49b77b-3813-4bd9-9fda-29ea56673c1e,1387969288.005,905.0,0.0,0.0,276319667000000,cached,cell,905.0,0.0,0.0,276319667000000,2000.0,0.0,0.0,276319667000000,True,False,False,False,22.594594594594593,88.38766939354473,network,0.0,1387969287904,True,False,False,False,22.5859442,88.3805967,network,0.0,1387969287904,,stationary,True,False,False,False,22.5859442,88.3805967,network,0.0,1387969287904,1387969288.005
